ticker,company_name,exchange,country,priority
AEC,Anfield Energy Inc. - Common Shares,NASDAQ,US,9000
AEE,Ameren Corporation Common Stock,N,US,9000
AEF,"abrdn Emerging Markets ex-China Fund, Inc. Common Stock",A,US,9000
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,N,US,9000
AEG,Aegon Ltd. New York Registry Shares,N,US,9000
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,NASDAQ,US,9000
AEHR,Aehr Test Systems - Common Stock,NASDAQ,US,9000
AEI,Alset Inc. - Common Stock,NASDAQ,US,9000
AEIS,"Advanced Energy Industries, Inc. - Common Stock",NASDAQ,US,9000
AEM,Agnico Eagle Mines Limited Common Stock,N,US,9000
AEMD,"Aethlon Medical, Inc. - Common Stock",NASDAQ,US,9000
AENT,Alliance Entertainment Holding Corporation - common stock,NASDAQ,US,9000
AENTW,Alliance Entertainment Holding Corporation - Warrants,NASDAQ,US,9000
AEO,"American Eagle Outfitters, Inc. Common Stock",N,US,9000
AEON,"AEON Biopharma, Inc. Class A Common Stock",A,US,9000
AEP,"American Electric Power Company, Inc. - Common Stock",NASDAQ,US,9000
AER,AerCap Holdings N.V. Ordinary Shares,N,US,9000
AERO,"Grupo Aeromexico, S.A.B. de C.V. American Depositary Shares (each representing ten (10) Common Shares)",N,US,9000
AERT,"Aeries Technology, Inc. - Class A Ordinary Share",NASDAQ,US,9000
AERTW,"Aeries Technology, Inc. - Warrant",NASDAQ,US,9000
AES,The AES Corporation Common Stock,N,US,9000
AESI,Atlas Energy Solutions Inc. Common Stock,N,US,9000
AESPU,Aeon Acquisition I Corp. - Units,NASDAQ,US,9000
AEVA,"Aeva Technologies, Inc. - Common Stock",NASDAQ,US,9000
AEXA,American Exceptionalism Acquisition Corp. A Class A Ordinary Shares,N,US,9000
AEYE,"AudioEye, Inc. - Common Stock",NASDAQ,US,9000
AFB,AllianceBernstein National Municipal Income Fund Inc,N,US,9000
AFBI,"Affinity Bancshares, Inc. - Common Stock",NASDAQ,US,9000
AFCG,Advanced Flower Capital Inc. - Common Stock,NASDAQ,US,9000
AFG,"American Financial Group, Inc. Common Stock",N,US,9000
AFGB,"American Financial Group, Inc. 5.875% Subordinated Debentures due 2059",N,US,9000
AFGC,"American Financial Group, Inc. 5.125% Subordinated Debentures due 2059",N,US,9000
AFGD,"American Financial Group, Inc. 5.625% Subordinated Debentures due 2060",N,US,9000
AFGE,"American Financial Group, Inc. 4.500% Subordinated Debentures due 2060",N,US,9000
AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share",NASDAQ,US,9000
AFJKR,"Aimei Health Technology Co., Ltd - Right",NASDAQ,US,9000
AFJKU,"Aimei Health Technology Co., Ltd - Unit",NASDAQ,US,9000
AFL,AFLAC Incorporated Common Stock,N,US,9000
AFRI,Forafric Global PLC - Ordinary Shares,NASDAQ,US,9000
AFRIW,Forafric Global PLC - Warrants,NASDAQ,US,9000
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",NASDAQ,US,9000
AFYA,Afya Limited - Class A Common Shares,NASDAQ,US,9000
AG,First Majestic Silver Corp. Ordinary Shares (Canada),N,US,9000
AGBK,AGI Inc Class A Common Shares,N,US,9000
AGCC,Agencia Comercial Spirits Ltd - Class A Ordinary Share,NASDAQ,US,9000
AGCO,AGCO Corporation Common Stock,N,US,9000
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,N,US,9000
AGEN,Agenus Inc. - Common Stock,NASDAQ,US,9000
AGI,Alamos Gold Inc. Class A Common Shares,N,US,9000
AGIG,Abundia Global Impact Group Inc. Common stock,A,US,9000
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",NASDAQ,US,9000
AGL,"agilon health, inc. Common Stock",N,US,9000
AGM,Federal Agricultural Mortgage Corporation Common Stock,N,US,9000
AGM.A,Federal Agricultural Mortgage Corporation Common Stock,N,US,9000
AGMB,AgomAb Therapeutics NV - ADRs representing one common share.,NASDAQ,US,9000
AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,NASDAQ,US,9000
AGNC,AGNC Investment Corp. - Common Stock,NASDAQ,US,9000
AGNCL,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock",NASDAQ,US,9000
AGNCM,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,NASDAQ,US,9000
AGNCN,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ,US,9000
AGNCO,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",NASDAQ,US,9000
AGNCP,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ,US,9000
AGNCZ,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 8.75% Series H Fixed-Rate Cumulative Redeemable Preferred Stock",NASDAQ,US,9000
AGNT,"AGNT, Inc. - Common Stock",NASDAQ,US,9000
AGO,Assured Guaranty Ltd. Common Stock,N,US,9000
AGPU,Axe Compute Inc. - Common Stock,NASDAQ,US,9000
AGRO,Adecoagro S.A. Common Shares,N,US,9000
AGRZ,Agroz Inc. - Ordinary Shares,NASDAQ,US,9000
AGX,"Argan, Inc. Common Stock",N,US,9000
AGYS,"Agilysys, Inc. - Common Stock",NASDAQ,US,9000
AHCO,AdaptHealth Corp.  - Common Stock,NASDAQ,US,9000
AHG,Akso Health Group - American Depositary Shares,NASDAQ,US,9000
AHMA,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares,NASDAQ,US,9000
AHR,"American Healthcare REIT, Inc. Common Stock",N,US,9000
AHRT,"AH Realty Trust, Inc. Common Stock",N,US,9000
AHT,Ashford Hospitality Trust Inc Common Stock,N,US,9000
AI,"C3.ai, Inc. Class A Common Stock",N,US,9000
AIAI,AIAI Holdings Corporation - Class A common stock,NASDAQ,US,9000
AIB,"BlockchAIn Digital Infrastructure, Inc Common Shares",A,US,9000
AIBZ,Bitzero Holdings Inc. - Common Shares,NASDAQ,US,9000
AIDX,"20/20 Biolabs, Inc. - Common Stock",NASDAQ,US,9000
AIFA,"All In FutureTech Alliance, Inc. - Common Stock",NASDAQ,US,9000
AIFC,AI Financial Corporation - Common Stock,NASDAQ,US,9000
AIFF,"Firefly Neuroscience, Inc.  - Common Stock",NASDAQ,US,9000
AIFU,AIFU Inc. - Class A Ordinary Share,NASDAQ,US,9000
AIG,"American International Group, Inc. New Common Stock",N,US,9000
AIHS,Senmiao Technology Limited - Common Stock,NASDAQ,US,9000
AII,"American Integrity Insurance Group, Inc. Common Stock",N,US,9000
AIIA,AI Infrastructure Acquisition Corp. Class A Ordinary Shares,N,US,9000
AIIA.R,"AI Infrastructure Acquisition Corp. Rights, each entitling the holder to receive one-fifth (1/5) of one Class A Ordinary Share",N,US,9000
AIIA.U,"AI Infrastructure Acquisition Corp. Units, each consisting of one Class A Ordinary Share and one Right",N,US,9000
AIIO,Robo.ai Inc. - Class B Ordinary Shares,NASDAQ,US,9000
AIIOW,Robo.ai Inc. - Warrant,NASDAQ,US,9000
AIIR,Air Global PLC - Ordinary shares,NASDAQ,US,9000
AIM,AIM ImmunoTech Inc. Common Stock,A,US,9000
AIMD,"Ainos, Inc. - Common Stock",NASDAQ,US,9000
AIMDW,"Ainos, Inc. - warrants",NASDAQ,US,9000
AIN,Albany International Corporation Common Stock,N,US,9000
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,N,US,9000
AIOS,AIOS Tech Inc. - Class A Common Shares,NASDAQ,US,9000
AIOT,"PowerFleet, Inc. - Common Stock",NASDAQ,US,9000
AIP,"Arteris, Inc.  - Common Stock",NASDAQ,US,9000
AIR,AAR Corp. Common Stock,N,US,9000
AIRE,reAlpha Tech Corp. - Common Stock,NASDAQ,US,9000
AIRG,"Airgain, Inc. - Common Stock",NASDAQ,US,9000
AIRI,Air Industries Group Common Stock,A,US,9000
AIRJ,AirJoule Technologies Corporation - Class A Common Stock,NASDAQ,US,9000
AIRJW,AirJoule Technologies Corporation - Warrant,NASDAQ,US,9000
AIRO,"AIRO Group Holdings, Inc. - Common Stock",NASDAQ,US,9000
AIRS,"AirSculpt Technologies, Inc. - Common Stock",NASDAQ,US,9000
AIRT,"Air T, Inc. - Common Stock",NASDAQ,US,9000
AIRTP,"Air T, Inc. - Trust Preferred Securities",NASDAQ,US,9000
AISP,"Airship AI Holdings, Inc - Class A Common Stock",NASDAQ,US,9000
AISPW,"Airship AI Holdings, Inc - Warrants",NASDAQ,US,9000
AIT,"Applied Industrial Technologies, Inc. Common Stock",N,US,9000
AIV,Apartment Investment and Management Company Common Stock,N,US,9000
AIXC,"AIxCrypto Holdings, Inc. - Common Stock",NASDAQ,US,9000
AIXI,XIAO-I Corporation - American Depositary Shares,NASDAQ,US,9000
AIZ,"Assurant, Inc. Common Stock",N,US,9000
AIZN,"Assurant, Inc. 5.25% Subordinated Notes due 2061",N,US,9000
AJG,Arthur J. Gallagher & Co. Common Stock,N,US,9000
AKA,a.k.a. Brands Holding Corp. Common Stock,N,US,9000
AKAM,"Akamai Technologies, Inc. - Common Stock",NASDAQ,US,9000
AKAN,Akanda Corp. - Common Shares,NASDAQ,US,9000
AKBA,"Akebia Therapeutics, Inc. - Common Stock",NASDAQ,US,9000
AKO.A,Embotelladora Andina S.A. Common Stock,N,US,9000
AKO.B,Embotelladora Andina S.A. Common Stock,N,US,9000
AKR,Acadia Realty Trust Common Stock,N,US,9000
AKTS,"Aktis Oncology, Inc. - Common stock",NASDAQ,US,9000
AKTX,Akari Therapeutics Plc - American Depositary Shares,NASDAQ,US,9000
ALAB,"Astera Labs, Inc. - Common Stock",NASDAQ,US,9000
ALAR,Alarum Technologies Ltd. - American Depositary Shares,NASDAQ,US,9000
ALB,Albemarle Corporation Common Stock,N,US,9000
